gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
APEH,-1.134809358,Arg,293T,2.98E-06,-2.612206079,1.477396722,,,,,
NDUFAB1,-1.123085822,Arg,293T,0.045795357,-0.438382424,-0.684703398,,,,,
ACSF2,-0.50368617,Arg,293T,NA,NA,NA,,,,,
ACSL1,-1.77216686,Arg,293T,NA,NA,NA,,,,,
ACSL3,-2.385163082,Arg,293T,0.080702456,-0.578499886,-1.806663196,,,,,
ACSL4,-3.984079632,Arg,293T,0.04333953,-1.435602388,-2.548477245,,,,,
ACTB,-0.865927485,Arg,293T,0.173332368,-0.412302938,-0.453624547,,,,,
ACTBL2,-1.112371855,Arg,293T,0.43362967,-0.655426648,-0.456945207,,,,,
ACTG1,-2.254727193,Arg,293T,0.005241294,-0.918768458,-1.335958734,,,,,
ACTN1,-1.624550828,Arg,293T,NA,NA,NA,,,,,
ACTN4,-1.27280032,Arg,293T,0.083836934,-1.624114015,0.351313695,,,,,
ACTA1,-0.605286537,Arg,293T,0.993884142,-0.004074484,-0.601212053,,,,,
ACTR1B,-1.157514035,Arg,293T,0.069321092,-0.959185498,-0.198328537,,,,,
ACTR1A,-1.149400763,Arg,293T,2.78E-06,-0.905890404,-0.243510359,,,,,
ACYP1,-0.08226546,Arg,293T,3.17E-12,1.468540989,-1.550806449,,,,,
ADA,-0.967772633,Arg,293T,NA,NA,NA,,,,,
ADAM10,-9.90495687,Arg,293T,0.428166079,-0.689960757,-9.214996113,,,,,
ADAM9,-9.110927812,Arg,293T,NA,NA,NA,,,,,
AGPS,-1.385146055,Arg,293T,0.001045579,-1.982965603,0.597819548,,,,,
ADAT2,-0.73212326,Arg,293T,0.006642633,-2.224943271,1.492820011,,,,,
ADD1,-4.734667575,Arg,293T,NA,NA,NA,,,,,
ADD2,-0.922236327,Arg,293T,NA,NA,NA,,,,,
ADD3,-1.47786758,Arg,293T,0.677158257,-0.202072235,-1.275795345,,,,,
ADH5,-0.567571192,Arg,293T,2.17E-04,-0.582454897,0.014883704,,,,,
ADK,-0.505710325,Arg,293T,0.001135683,-0.958300576,0.452590251,,,,,
ADNP,-1.84053583,Arg,293T,NA,NA,NA,,,,,
ADPGK,-1.258842703,Arg,293T,NA,NA,NA,,,,,
AASDHPPT,-1.11129013,Arg,293T,0.692672328,0.061123902,-1.172414032,,,,,
ADRM1,-0.770653212,Arg,293T,0.116878554,-0.325701107,-0.444952106,,,,,
SLC25A4,0.473349455,Arg,293T,0.706983681,-0.071415191,0.544764646,,,,,
SLC25A5,-0.825028707,Arg,293T,0.089627257,-0.331148981,-0.493879726,,,,,
SLC25A6,-0.95919376,Arg,293T,NA,NA,NA,,,,,
FDX1,-3.801626183,Arg,293T,0.575846732,-0.481223104,-3.320403079,,,,,
AFDN,-1.542959832,Arg,293T,NA,NA,NA,,,,,
AFF4,-1.775812737,Arg,293T,0.010437121,1.346021317,-3.121834055,,,,,
AFG3L2,-0.654243672,Arg,293T,NA,NA,NA,,,,,
GLA,-3.983566965,Arg,293T,0.256244465,-0.150800612,-3.832766353,,,,,
AGFG1,-0.64765089,Arg,293T,NA,NA,NA,,,,,
AGK,-1.896476135,Arg,293T,1.74E-05,-2.714087826,0.817611691,,,,,
PGM3,-1.36344081,Arg,293T,0.278140635,0.332784317,-1.696225127,,,,,
AHNAK,-2.24927445,Arg,293T,0.603910957,-0.466756226,-1.782518224,,,,,
AHSA1,-1.242729032,Arg,293T,3.76E-04,0.624291817,-1.867020849,,,,,
AIDA,-3.347921723,Arg,293T,NA,NA,NA,,,,,
AIF1L,-1.730653157,Arg,293T,NA,NA,NA,,,,,
AIFM1,-1.105190347,Arg,293T,0.004322731,0.418189818,-1.523380166,,,,,
AIMP1,-0.47094583,Arg,293T,1.25E-11,0.825725239,-1.296671069,,,,,
AIMP2,-0.73017426,Arg,293T,0.136217659,0.298088971,-1.028263231,,,,,
AIP,-1.053850085,Arg,293T,0.003548725,0.838648563,-1.892498648,,,,,
AKAP17A,-0.53467019,Arg,293T,NA,NA,NA,,,,,
AKR1A1,-0.391972597,Arg,293T,0.488832978,-0.134254869,-0.257717728,,,,,
AKAP12,-0.929489635,Arg,293T,1.23E-04,1.241996201,-2.171485836,,,,,
AKAP1,-2.63859878,Arg,293T,0.096073373,1.003771508,-3.642370288,,,,,
PALM2AKAP2,-1.464832767,Arg,293T,NA,NA,NA,,,,,
AKAP8,-2.738672773,Arg,293T,0.006366828,-2.041676046,-0.696996728,,,,,
AKAP8L,-0.746254455,Arg,293T,0.001019362,1.983374828,-2.729629283,,,,,
AKT1S1,-1.385362783,Arg,293T,NA,NA,NA,,,,,
ARL14EP,-1.416692798,Arg,293T,0.002365292,0.69684617,-2.113538968,,,,,
ALDH1A2,-2.02253554,Arg,293T,NA,NA,NA,,,,,
ALDH1B1,-0.95880546,Arg,293T,NA,NA,NA,,,,,
ALDH1L2,2.1700532,Arg,293T,NA,NA,NA,,,,,
ALDH3A2,-1.726726435,Arg,293T,3.39E-05,-1.126970841,-0.599755594,,,,,
ALDH4A1,-0.267617518,Arg,293T,NA,NA,NA,,,,,
ALDH7A1,-0.360968683,Arg,293T,0.337567322,0.213875957,-0.574844639,,,,,
ALDH9A1,-0.383374808,Arg,293T,0.014619327,-2.230313146,1.846938338,,,,,
ALDH2,-0.37269185,Arg,293T,NA,NA,NA,,,,,
ALDOA,-1.005462775,Arg,293T,0.895789423,-0.022776356,-0.982686419,,,,,
ALDOC,-1.152837155,Arg,293T,NA,NA,NA,,,,,
AKR1B1,-0.303649875,Arg,293T,0.009517488,0.804478446,-1.108128321,,,,,
ALG1,-1.495449837,Arg,293T,0.007533349,-1.099083344,-0.396366493,,,,,
ALG2,-0.96501598,Arg,293T,0.49680695,0.525833789,-1.490849769,,,,,
ALG5,-1.874129715,Arg,293T,0.002382245,0.83572355,-2.709853265,,,,,
ALG8,-1.209966705,Arg,293T,1.40E-05,0.766351712,-1.976318417,,,,,
ALKBH5,-4.00168695,Arg,293T,NA,NA,NA,,,,,
AMOT,-5.295257492,Arg,293T,NA,NA,NA,,,,,
RNPEP,-0.46142092,Arg,293T,NA,NA,NA,,,,,
AMPD2,-1.627823577,Arg,293T,NA,NA,NA,,,,,
LAP3,-0.933307047,Arg,293T,0.218043144,-0.284369481,-0.648937566,,,,,
LRPAP1,-1.860710312,Arg,293T,0.514771625,0.290698883,-2.151409196,,,,,
ANP32A,-0.55104343,Arg,293T,9.66E-05,-2.331574192,1.780530762,,,,,
ANP32B,-0.30074966,Arg,293T,0.712208314,-0.192187741,-0.108561919,,,,,
ANP32C,NA,Arg,293T,NA,NA,NA,,,,,
ANP32D,-1.11810208,Arg,293T,0.001567419,-2.216455657,1.098353577,,,,,
ANP32E,-0.535704267,Arg,293T,0.004732327,-0.768062089,0.232357821,,,,,
ANKFY1,-1.25470601,Arg,293T,NA,NA,NA,,,,,
ANGEL2,-0.846864937,Arg,293T,0.321540843,-0.597028888,-0.249836048,,,,,
ANK2,0.338044575,Arg,293T,NA,NA,NA,,,,,
ANKLE2,-6.022914654,Arg,293T,0.342083031,0.637269102,-6.660183756,,,,,
ANKMY2,-3.912353408,Arg,293T,NA,NA,NA,,,,,
ANLN,-4.308632584,Arg,293T,9.67E-05,-1.361971069,-2.946661514,,,,,
PRMT1,-0.523918205,Arg,293T,NA,NA,NA,,,,,
PRMT3,-1.18603107,Arg,293T,NA,NA,NA,,,,,
PRMT5,-0.844433713,Arg,293T,0.097353154,0.633654954,-1.478088667,,,,,
ANKRD17,-1.790846422,Arg,293T,0.0069528,0.865579381,-2.656425804,,,,,
ANKRD45,-1.5304456,Arg,293T,NA,NA,NA,,,,,
ANKRD52,-1.852229467,Arg,293T,NA,NA,NA,,,,,
ANKS1A,-0.123443845,Arg,293T,0.2916842,-1.374251964,1.250808119,,,,,
ANXA11,-1.034651452,Arg,293T,0.379627357,-0.630973746,-0.403677707,,,,,
